ENSG00000172465 ENSG00000180964
ENSG00000111875 ENSG00000131023
ENSG00000006607 ENSG00000115694
ENSG00000102096 ENSG00000169962
ENSG00000126653 ENSG00000174720
ENSG00000101057 ENSG00000105011
ENSG00000167874 ENSG00000183615
ENSG00000104671 ENSG00000104756
ENSG00000010256 ENSG00000088682
ENSG00000170312 ENSG00000171848
ENSG00000081154 ENSG00000114391
ENSG00000130363 ENSG00000203778
ENSG00000113460 ENSG00000168724
ENSG00000106636 ENSG00000205903
ENSG00000135597 ENSG00000169976
ENSG00000107625 ENSG00000148843
ENSG00000144746 ENSG00000144747
ENSG00000159322 ENSG00000213614
ENSG00000055332 ENSG00000111335
ENSG00000016864 ENSG00000163946
ENSG00000178685 ENSG00000180900
ENSG00000158856 ENSG00000221914
ENSG00000138459 ENSG00000178694
ENSG00000100614 ENSG00000165861
ENSG00000119392 ENSG00000167113
ENSG00000135932 ENSG00000162972
ENSG00000065802 ENSG00000168395
ENSG00000107341 ENSG00000137074
ENSG00000126461 ENSG00000141867
ENSG00000112290 ENSG00000198818
ENSG00000107625 ENSG00000165637
ENSG00000128463 ENSG00000140319
ENSG00000165246 ENSG00000198692
ENSG00000114446 ENSG00000114670
ENSG00000149929 ENSG00000169217
ENSG00000109805 ENSG00000117399
ENSG00000158552 ENSG00000163481
ENSG00000136573 ENSG00000156738
ENSG00000070814 ENSG00000197451
ENSG00000163913 ENSG00000181789
ENSG00000101557 ENSG00000154845
ENSG00000047410 ENSG00000116539
ENSG00000104626 ENSG00000104671
ENSG00000148773 ENSG00000169607
ENSG00000163519 ENSG00000172673
ENSG00000142945 ENSG00000170312
ENSG00000143476 ENSG00000276043
ENSG00000115053 ENSG00000160818
ENSG00000118193 ENSG00000237649
ENSG00000116198 ENSG00000117305
ENSG00000174013 ENSG00000185798
ENSG00000155975 ENSG00000158941
ENSG00000099783 ENSG00000160633
ENSG00000100387 ENSG00000140264
ENSG00000112237 ENSG00000189241
ENSG00000081154 ENSG00000178694
ENSG00000119421 ENSG00000130717
ENSG00000130764 ENSG00000198746
ENSG00000075218 ENSG00000112984
ENSG00000154473 ENSG00000155229
ENSG00000154839 ENSG00000169679
ENSG00000065613 ENSG00000107874
ENSG00000065518 ENSG00000144827
ENSG00000113615 ENSG00000176087
ENSG00000113575 ENSG00000170445
ENSG00000112592 ENSG00000120438
ENSG00000154473 ENSG00000165669
ENSG00000127564 ENSG00000136492
ENSG00000156738 ENSG00000188822
ENSG00000126653 ENSG00000168259
ENSG00000125498 ENSG00000167633
ENSG00000124422 ENSG00000139722
ENSG00000169379 ENSG00000182504
ENSG00000130717 ENSG00000167118
ENSG00000172053 ENSG00000177479
ENSG00000122705 ENSG00000167118
ENSG00000166265 ENSG00000170989
ENSG00000137807 ENSG00000186185
ENSG00000105726 ENSG00000214160
ENSG00000113845 ENSG00000121578
ENSG00000085274 ENSG00000177565
ENSG00000094804 ENSG00000165304
ENSG00000065485 ENSG00000144827
ENSG00000110777 ENSG00000254709
ENSG00000151893 ENSG00000151923
ENSG00000204965 ENSG00000255408
ENSG00000114446 ENSG00000178700
ENSG00000117724 ENSG00000198901
ENSG00000104738 ENSG00000105011
ENSG00000174173 ENSG00000178694
ENSG00000166167 ENSG00000171307
ENSG00000115163 ENSG00000169679
ENSG00000100034 ENSG00000274211
ENSG00000158545 ENSG00000168872
ENSG00000104671 ENSG00000147457
ENSG00000062650 ENSG00000077147
ENSG00000104756 ENSG00000147439
ENSG00000164898 ENSG00000179085
ENSG00000093000 ENSG00000100335
ENSG00000075413 ENSG00000100722
ENSG00000013810 ENSG00000121211
ENSG00000161888 ENSG00000178999
ENSG00000165168 ENSG00000203747
ENSG00000009844 ENSG00000215712
ENSG00000143436 ENSG00000160714
ENSG00000153140 ENSG00000164258
ENSG00000065328 ENSG00000189057
ENSG00000163563 ENSG00000196664
ENSG00000111911 ENSG00000153989
ENSG00000171848 ENSG00000178999
ENSG00000131323 ENSG00000174151
ENSG00000143436 ENSG00000143621
ENSG00000094880 ENSG00000164902
ENSG00000146007 ENSG00000170445
ENSG00000063245 ENSG00000261221
ENSG00000154174 ENSG00000198919
ENSG00000114520 ENSG00000121542
ENSG00000100813 ENSG00000129460
ENSG00000089685 ENSG00000129195
ENSG00000140525 ENSG00000166803
ENSG00000134970 ENSG00000134987
ENSG00000055044 ENSG00000196504
ENSG00000082516 ENSG00000120733
ENSG00000077984 ENSG00000163564
ENSG00000155906 ENSG00000169976
ENSG00000144655 ENSG00000159200
ENSG00000131153 ENSG00000143476
ENSG00000077152 ENSG00000237649
ENSG00000112339 ENSG00000146457
ENSG00000131153 ENSG00000136492
ENSG00000178694 ENSG00000184500
ENSG00000175893 ENSG00000198876
ENSG00000113088 ENSG00000198851
ENSG00000094804 ENSG00000100162
ENSG00000034693 ENSG00000131013
ENSG00000113845 ENSG00000114491
ENSG00000086730 ENSG00000168329
ENSG00000123485 ENSG00000138180
ENSG00000107262 ENSG00000130560
ENSG00000120265 ENSG00000135597
ENSG00000088325 ENSG00000115163
ENSG00000075785 ENSG00000114030
ENSG00000134759 ENSG00000141380
ENSG00000138468 ENSG00000182504
ENSG00000113368 ENSG00000276043
ENSG00000167291 ENSG00000174151
ENSG00000067704 ENSG00000162851
ENSG00000136522 ENSG00000198836
ENSG00000084774 ENSG00000138074
ENSG00000167904 ENSG00000187735
ENSG00000104679 ENSG00000221914
ENSG00000163002 ENSG00000196290
ENSG00000134690 ENSG00000146670
ENSG00000164967 ENSG00000167118
ENSG00000151725 ENSG00000165244
ENSG00000081154 ENSG00000154174
ENSG00000159352 ENSG00000173171
ENSG00000145649 ENSG00000183918
ENSG00000090520 ENSG00000184164
ENSG00000078674 ENSG00000147548
ENSG00000037474 ENSG00000067248
ENSG00000104343 ENSG00000164751
ENSG00000080986 ENSG00000089685
ENSG00000136929 ENSG00000196565
ENSG00000170445 ENSG00000197226
ENSG00000160049 ENSG00000173614
ENSG00000158578 ENSG00000188536
ENSG00000112984 ENSG00000142945
ENSG00000113272 ENSG00000146066
ENSG00000113638 ENSG00000132356
ENSG00000090520 ENSG00000128228
ENSG00000165304 ENSG00000237649
ENSG00000130713 ENSG00000148308
ENSG00000136573 ENSG00000196092
ENSG00000115163 ENSG00000237649
ENSG00000256294 ENSG00000267680
ENSG00000159885 ENSG00000186026
ENSG00000136827 ENSG00000148248
ENSG00000027001 ENSG00000175198
ENSG00000103254 ENSG00000171222
ENSG00000116698 ENSG00000160688
ENSG00000113141 ENSG00000146007
ENSG00000010671 ENSG00000095970
ENSG00000112339 ENSG00000112592
ENSG00000159256 ENSG00000185658
ENSG00000100453 ENSG00000115523
ENSG00000171649 ENSG00000196724
ENSG00000147548 ENSG00000168522
ENSG00000114867 ENSG00000161204
ENSG00000109674 ENSG00000111206
ENSG00000103254 ENSG00000107872
ENSG00000163421 ENSG00000180871
ENSG00000156970 ENSG00000166851
ENSG00000085415 ENSG00000134265
ENSG00000171858 ENSG00000221983
ENSG00000085982 ENSG00000198612
ENSG00000119335 ENSG00000155827
ENSG00000134690 ENSG00000186185
ENSG00000120265 ENSG00000164494
ENSG00000160688 ENSG00000163468
ENSG00000149564 ENSG00000179776
ENSG00000107625 ENSG00000107874
ENSG00000104738 ENSG00000189057
ENSG00000169877 ENSG00000223609
ENSG00000091428 ENSG00000128052
ENSG00000163221 ENSG00000171049
ENSG00000171649 ENSG00000197128
ENSG00000114480 ENSG00000163605
ENSG00000147316 ENSG00000147439
ENSG00000144744 ENSG00000163605
ENSG00000105492 ENSG00000127074
ENSG00000138160 ENSG00000154839
ENSG00000118193 ENSG00000123485
ENSG00000164484 ENSG00000169976
ENSG00000138160 ENSG00000138180
ENSG00000119041 ENSG00000196290
ENSG00000104691 ENSG00000198042
ENSG00000111331 ENSG00000184979
ENSG00000065328 ENSG00000105011
ENSG00000105538 ENSG00000204301
ENSG00000101412 ENSG00000104889
ENSG00000013810 ENSG00000175063
ENSG00000116747 ENSG00000134371
ENSG00000117399 ENSG00000146670
ENSG00000112592 ENSG00000186625
ENSG00000101412 ENSG00000127564
ENSG00000093144 ENSG00000120265
ENSG00000118946 ENSG00000134817
ENSG00000089685 ENSG00000117724
ENSG00000149564 ENSG00000204301
ENSG00000131013 ENSG00000153989
ENSG00000065485 ENSG00000121542
ENSG00000126709 ENSG00000138496
ENSG00000167513 ENSG00000174371
ENSG00000143294 ENSG00000143319
ENSG00000079459 ENSG00000134014
ENSG00000051180 ENSG00000131153
ENSG00000092470 ENSG00000143476
ENSG00000099985 ENSG00000170345
ENSG00000114573 ENSG00000178694
ENSG00000134321 ENSG00000185745
ENSG00000011114 ENSG00000066739
ENSG00000120265 ENSG00000146416
ENSG00000174059 ENSG00000179776
ENSG00000112592 ENSG00000130024
ENSG00000065427 ENSG00000140829
ENSG00000024862 ENSG00000146425
ENSG00000139428 ENSG00000178449
ENSG00000073111 ENSG00000175643
ENSG00000085415 ENSG00000177150
ENSG00000114416 ENSG00000114503
ENSG00000082516 ENSG00000131495
ENSG00000034693 ENSG00000120265
ENSG00000110717 ENSG00000170906
ENSG00000159197 ENSG00000243927
ENSG00000129467 ENSG00000198844
ENSG00000148843 ENSG00000165733
ENSG00000112592 ENSG00000168438
ENSG00000148358 ENSG00000177239
ENSG00000163492 ENSG00000179097
ENSG00000121864 ENSG00000198836
ENSG00000114686 ENSG00000163902
ENSG00000099795 ENSG00000126267
ENSG00000131023 ENSG00000213079
ENSG00000105793 ENSG00000164715
ENSG00000105011 ENSG00000131153
ENSG00000165102 ENSG00000176209
ENSG00000113649 ENSG00000213523
ENSG00000130414 ENSG00000168958
ENSG00000149591 ENSG00000198467
ENSG00000001631 ENSG00000004766
ENSG00000145740 ENSG00000152942
ENSG00000113845 ENSG00000181789
ENSG00000119685 ENSG00000139990
ENSG00000015285 ENSG00000150681
ENSG00000005020 ENSG00000197576
ENSG00000159069 ENSG00000165689
ENSG00000120265 ENSG00000272047
ENSG00000120156 ENSG00000122679
ENSG00000147548 ENSG00000158941
ENSG00000136827 ENSG00000187713
ENSG00000164916 ENSG00000186575
ENSG00000135451 ENSG00000146670
ENSG00000095970 ENSG00000134955
ENSG00000104412 ENSG00000176731
ENSG00000117281 ENSG00000189430
ENSG00000065427 ENSG00000086504
ENSG00000120279 ENSG00000154133
ENSG00000168874 ENSG00000187634
ENSG00000113643 ENSG00000205302
ENSG00000102910 ENSG00000103275
ENSG00000131013 ENSG00000146425
ENSG00000133657 ENSG00000136522
ENSG00000024862 ENSG00000111897
ENSG00000141030 ENSG00000167193
ENSG00000173546 ENSG00000174807
ENSG00000163519 ENSG00000172215
ENSG00000162244 ENSG00000188846
ENSG00000103253 ENSG00000162004
ENSG00000007545 ENSG00000101445
ENSG00000168488 ENSG00000205937
ENSG00000152969 ENSG00000153563
ENSG00000100302 ENSG00000204950
ENSG00000145649 ENSG00000172673
ENSG00000115464 ENSG00000115760
ENSG00000047932 ENSG00000169976
ENSG00000112742 ENSG00000123485
ENSG00000123485 ENSG00000134690
ENSG00000135763 ENSG00000170468
ENSG00000130349 ENSG00000155115
ENSG00000049618 ENSG00000112335
ENSG00000116698 ENSG00000160803
ENSG00000089692 ENSG00000153563
ENSG00000119661 ENSG00000213463
ENSG00000116251 ENSG00000196683
ENSG00000163634 ENSG00000163946
ENSG00000060069 ENSG00000175387
ENSG00000129195 ENSG00000186185
ENSG00000163681 ENSG00000168374
ENSG00000119969 ENSG00000166803
ENSG00000129071 ENSG00000132394
ENSG00000104679 ENSG00000147457
ENSG00000024526 ENSG00000115163
ENSG00000047188 ENSG00000113649
ENSG00000114850 ENSG00000169359
ENSG00000007968 ENSG00000276043
ENSG00000048392 ENSG00000244694
ENSG00000131747 ENSG00000137807
ENSG00000065518 ENSG00000114686
ENSG00000104679 ENSG00000198042
ENSG00000141380 ENSG00000167220
ENSG00000104679 ENSG00000147419
ENSG00000060069 ENSG00000119541
ENSG00000158578 ENSG00000206172
ENSG00000127837 ENSG00000204120
ENSG00000066336 ENSG00000101336
ENSG00000188021 ENSG00000198455
ENSG00000010256 ENSG00000172053
ENSG00000168303 ENSG00000182095
ENSG00000113643 ENSG00000120314
ENSG00000160741 ENSG00000163125
ENSG00000048392 ENSG00000134574
ENSG00000075914 ENSG00000211456
ENSG00000100888 ENSG00000129460
ENSG00000104679 ENSG00000154328
ENSG00000136891 ENSG00000167113
ENSG00000132570 ENSG00000146083
ENSG00000137462 ENSG00000182578
ENSG00000104643 ENSG00000147475
ENSG00000113845 ENSG00000196455
ENSG00000156738 ENSG00000196092
ENSG00000064419 ENSG00000106344
ENSG00000124491 ENSG00000165457
ENSG00000125319 ENSG00000140525
ENSG00000120156 ENSG00000169291
ENSG00000157916 ENSG00000175756
ENSG00000243232 ENSG00000248383
ENSG00000117399 ENSG00000198901
ENSG00000124228 ENSG00000153015
ENSG00000137106 ENSG00000213930
ENSG00000129691 ENSG00000147533
ENSG00000108061 ENSG00000156026
ENSG00000111665 ENSG00000134690
ENSG00000071994 ENSG00000153989
