ENSG00000101096 ENSG00000101911
ENSG00000143337 ENSG00000163125
ENSG00000076108 ENSG00000111652
ENSG00000107854 ENSG00000169826
ENSG00000135931 ENSG00000154556
ENSG00000161405 ENSG00000186810
ENSG00000136319 ENSG00000196792
ENSG00000078902 ENSG00000127884
ENSG00000159882 ENSG00000204920
ENSG00000100218 ENSG00000196372
ENSG00000166189 ENSG00000182180
ENSG00000100353 ENSG00000130811
ENSG00000118873 ENSG00000168275
ENSG00000196465 ENSG00000204843
ENSG00000114126 ENSG00000196502
ENSG00000055211 ENSG00000120438
ENSG00000164920 ENSG00000165246
ENSG00000010072 ENSG00000135870
ENSG00000136816 ENSG00000179873
ENSG00000101222 ENSG00000164574
ENSG00000165494 ENSG00000185825
ENSG00000141098 ENSG00000259823
ENSG00000104613 ENSG00000104756
ENSG00000078618 ENSG00000163539
ENSG00000160691 ENSG00000177888
ENSG00000085832 ENSG00000134186
ENSG00000130764 ENSG00000188976
ENSG00000120656 ENSG00000162613
ENSG00000013725 ENSG00000146285
ENSG00000111424 ENSG00000119508
ENSG00000137547 ENSG00000187954
ENSG00000158234 ENSG00000184432
ENSG00000089022 ENSG00000134827
ENSG00000127884 ENSG00000165832
ENSG00000107959 ENSG00000122786
ENSG00000133612 ENSG00000214022
ENSG00000104687 ENSG00000158941
ENSG00000060688 ENSG00000162545
ENSG00000104731 ENSG00000157353
ENSG00000148468 ENSG00000152382
ENSG00000153066 ENSG00000163950
ENSG00000084623 ENSG00000117118
ENSG00000109536 ENSG00000134046
ENSG00000119977 ENSG00000148606
ENSG00000101361 ENSG00000157450
ENSG00000129250 ENSG00000135940
ENSG00000095464 ENSG00000115875
ENSG00000127980 ENSG00000157259
ENSG00000135845 ENSG00000143570
ENSG00000087269 ENSG00000166012
ENSG00000198862 ENSG00000205581
ENSG00000100380 ENSG00000181163
ENSG00000060558 ENSG00000125538
ENSG00000076826 ENSG00000229474
ENSG00000141026 ENSG00000171861
ENSG00000158022 ENSG00000168802
ENSG00000171223 ENSG00000198855
ENSG00000111181 ENSG00000256223
ENSG00000144895 ENSG00000206559
ENSG00000164323 ENSG00000168092
ENSG00000125970 ENSG00000171051
ENSG00000100348 ENSG00000136942
ENSG00000140553 ENSG00000204673
ENSG00000143222 ENSG00000143256
ENSG00000072415 ENSG00000129480
ENSG00000135845 ENSG00000143258
ENSG00000165661 ENSG00000167130
ENSG00000150760 ENSG00000213551
ENSG00000136897 ENSG00000148308
ENSG00000182180 ENSG00000198964
ENSG00000151490 ENSG00000164587
ENSG00000107938 ENSG00000182180
ENSG00000129824 ENSG00000162174
ENSG00000106305 ENSG00000110104
ENSG00000115232 ENSG00000173546
ENSG00000073417 ENSG00000148344
ENSG00000132676 ENSG00000160685
ENSG00000106688 ENSG00000182557
ENSG00000123989 ENSG00000145833
ENSG00000100564 ENSG00000182400
ENSG00000158941 ENSG00000168522
ENSG00000084733 ENSG00000175040
ENSG00000136710 ENSG00000143337
ENSG00000140543 ENSG00000166024
ENSG00000143612 ENSG00000160685
ENSG00000101442 ENSG00000105819
ENSG00000048342 ENSG00000205795
ENSG00000005801 ENSG00000162222
ENSG00000116539 ENSG00000162736
ENSG00000071462 ENSG00000130305
ENSG00000116120 ENSG00000197713
ENSG00000055950 ENSG00000166169
