ENSG00000105726 ENSG00000176714
ENSG00000253767 ENSG00000262209
ENSG00000120253 ENSG00000123552
ENSG00000103966 ENSG00000152229
ENSG00000170248 ENSG00000182973
ENSG00000120699 ENSG00000133119
ENSG00000122218 ENSG00000132676
ENSG00000170290 ENSG00000248098
ENSG00000143226 ENSG00000172243
ENSG00000136141 ENSG00000188342
ENSG00000148335 ENSG00000214279
ENSG00000137492 ENSG00000175224
ENSG00000088325 ENSG00000100526
ENSG00000070814 ENSG00000082516
ENSG00000106012 ENSG00000128581
ENSG00000162924 ENSG00000171552
ENSG00000090776 ENSG00000126351
ENSG00000132153 ENSG00000214706
ENSG00000001631 ENSG00000009954
ENSG00000078967 ENSG00000168890
ENSG00000105519 ENSG00000116329
ENSG00000051382 ENSG00000145191
ENSG00000122008 ENSG00000155545
ENSG00000107779 ENSG00000156374
ENSG00000151461 ENSG00000160716
ENSG00000126262 ENSG00000180871
ENSG00000144867 ENSG00000214160
ENSG00000101367 ENSG00000171867
ENSG00000176142 ENSG00000181789
ENSG00000116685 ENSG00000197312
ENSG00000038427 ENSG00000167733
ENSG00000134970 ENSG00000145725
ENSG00000051180 ENSG00000276043
ENSG00000120910 ENSG00000168495
ENSG00000013810 ENSG00000169679
ENSG00000134222 ENSG00000186185
ENSG00000079462 ENSG00000170892
ENSG00000104687 ENSG00000158941
ENSG00000105193 ENSG00000197958
ENSG00000116128 ENSG00000132694
ENSG00000138660 ENSG00000164031
ENSG00000091140 ENSG00000157184
ENSG00000100151 ENSG00000185721
ENSG00000145781 ENSG00000169570
ENSG00000150459 ENSG00000244754
ENSG00000006744 ENSG00000132507
ENSG00000111540 ENSG00000135457
ENSG00000145740 ENSG00000150756
ENSG00000172572 ENSG00000215595
ENSG00000113838 ENSG00000186001
ENSG00000160285 ENSG00000160299
ENSG00000132305 ENSG00000167699
ENSG00000079313 ENSG00000105248
ENSG00000172548 ENSG00000196220
ENSG00000059377 ENSG00000091106
ENSG00000105821 ENSG00000106290
ENSG00000137449 ENSG00000196329
ENSG00000125740 ENSG00000163874
ENSG00000087448 ENSG00000204469
ENSG00000114742 ENSG00000185219
ENSG00000117305 ENSG00000175538
ENSG00000117625 ENSG00000166889
ENSG00000077152 ENSG00000118193
ENSG00000100294 ENSG00000100353
ENSG00000163159 ENSG00000173171
ENSG00000178935 ENSG00000251247
ENSG00000169359 ENSG00000177311
ENSG00000136937 ENSG00000148187
ENSG00000088448 ENSG00000134900
ENSG00000197114 ENSG00000203896
ENSG00000001036 ENSG00000112237
ENSG00000144713 ENSG00000221983
ENSG00000089127 ENSG00000119922
ENSG00000120963 ENSG00000187954
ENSG00000141736 ENSG00000157796
ENSG00000143368 ENSG00000143373
ENSG00000059769 ENSG00000167110
ENSG00000100351 ENSG00000172673
ENSG00000071082 ENSG00000125691
ENSG00000163568 ENSG00000178177
ENSG00000116539 ENSG00000162736
ENSG00000112996 ENSG00000124275
ENSG00000105963 ENSG00000186766
ENSG00000104866 ENSG00000147316
ENSG00000051180 ENSG00000137807
ENSG00000143569 ENSG00000158796
ENSG00000147274 ENSG00000165502
ENSG00000137038 ENSG00000172785
ENSG00000076248 ENSG00000076555
ENSG00000126759 ENSG00000160883
ENSG00000188229 ENSG00000196363
ENSG00000006576 ENSG00000164258
ENSG00000112357 ENSG00000153975
ENSG00000113108 ENSG00000196670
ENSG00000102786 ENSG00000132950
ENSG00000085511 ENSG00000186625
ENSG00000176386 ENSG00000240230
ENSG00000130731 ENSG00000172366
ENSG00000134882 ENSG00000139826
ENSG00000104679 ENSG00000108312
ENSG00000181007 ENSG00000198453
ENSG00000130958 ENSG00000136937
ENSG00000089685 ENSG00000167900
ENSG00000101336 ENSG00000204472
ENSG00000095321 ENSG00000165219
ENSG00000124279 ENSG00000172239
ENSG00000118162 ENSG00000256087
ENSG00000139726 ENSG00000144867
ENSG00000055147 ENSG00000170606
ENSG00000170954 ENSG00000197937
ENSG00000035499 ENSG00000161888
ENSG00000132155 ENSG00000154813
ENSG00000166226 ENSG00000176454
ENSG00000078043 ENSG00000101557
ENSG00000117620 ENSG00000161217
ENSG00000116698 ENSG00000134375
ENSG00000055147 ENSG00000131495
ENSG00000113384 ENSG00000151881
ENSG00000102531 ENSG00000172766
ENSG00000172531 ENSG00000226742
ENSG00000163938 ENSG00000198604
ENSG00000070961 ENSG00000171649
ENSG00000111832 ENSG00000135341
ENSG00000104290 ENSG00000186918
ENSG00000025434 ENSG00000105372
ENSG00000100519 ENSG00000129515
ENSG00000100462 ENSG00000129559
ENSG00000096401 ENSG00000227057
ENSG00000122034 ENSG00000136141
ENSG00000083520 ENSG00000102786
ENSG00000100354 ENSG00000143614
ENSG00000113328 ENSG00000113643
ENSG00000125459 ENSG00000160714
ENSG00000110448 ENSG00000160185
ENSG00000151576 ENSG00000163507
ENSG00000136104 ENSG00000204899
ENSG00000205643 ENSG00000213999
ENSG00000057757 ENSG00000117308
ENSG00000160685 ENSG00000176444
ENSG00000169727 ENSG00000180329
ENSG00000111832 ENSG00000130023
ENSG00000159753 ENSG00000160185
ENSG00000120685 ENSG00000186184
ENSG00000137078 ENSG00000160791
ENSG00000055950 ENSG00000151923
ENSG00000125814 ENSG00000136444
ENSG00000143224 ENSG00000160789
ENSG00000132676 ENSG00000158711
ENSG00000094880 ENSG00000176087
ENSG00000130713 ENSG00000167112
ENSG00000061656 ENSG00000114268
ENSG00000116273 ENSG00000269343
ENSG00000148308 ENSG00000158169
ENSG00000009844 ENSG00000112234
ENSG00000024526 ENSG00000085840
ENSG00000163655 ENSG00000186432
ENSG00000072110 ENSG00000162368
ENSG00000119638 ENSG00000151445
ENSG00000113272 ENSG00000137876
ENSG00000143183 ENSG00000143457
ENSG00000144659 ENSG00000151092
ENSG00000028839 ENSG00000169976
ENSG00000057663 ENSG00000146457
ENSG00000086065 ENSG00000122705
ENSG00000132424 ENSG00000197498
ENSG00000141101 ENSG00000278845
ENSG00000066739 ENSG00000100796
ENSG00000134255 ENSG00000156171
ENSG00000110435 ENSG00000112305
ENSG00000110713 ENSG00000181027
ENSG00000156931 ENSG00000214160
ENSG00000074695 ENSG00000167088
ENSG00000124733 ENSG00000156162
ENSG00000109805 ENSG00000166851
ENSG00000062194 ENSG00000160570
ENSG00000075886 ENSG00000198033
ENSG00000118307 ENSG00000187535
ENSG00000021355 ENSG00000112651
ENSG00000104331 ENSG00000179933
ENSG00000023318 ENSG00000213015
ENSG00000023287 ENSG00000104218
ENSG00000124429 ENSG00000186106
ENSG00000145725 ENSG00000198677
ENSG00000143436 ENSG00000198837
ENSG00000110375 ENSG00000136842
ENSG00000125772 ENSG00000198914
ENSG00000157869 ENSG00000185716
ENSG00000117245 ENSG00000180263
ENSG00000113068 ENSG00000197451
ENSG00000164466 ENSG00000164609
ENSG00000161513 ENSG00000163071
ENSG00000090621 ENSG00000197958
ENSG00000100883 ENSG00000129559
ENSG00000095321 ENSG00000119318
ENSG00000156697 ENSG00000185973
ENSG00000143355 ENSG00000206418
ENSG00000114503 ENSG00000174013
ENSG00000158796 ENSG00000160685
ENSG00000143569 ENSG00000166965
ENSG00000170370 ENSG00000204822
ENSG00000156162 ENSG00000180488
ENSG00000055147 ENSG00000072803
ENSG00000106077 ENSG00000163596
ENSG00000168090 ENSG00000197037
ENSG00000049541 ENSG00000240230
ENSG00000011007 ENSG00000057757
ENSG00000108523 ENSG00000161920
ENSG00000131097 ENSG00000173546
ENSG00000115484 ENSG00000173486
ENSG00000168028 ENSG00000197756
ENSG00000122512 ENSG00000214300
ENSG00000116199 ENSG00000143314
ENSG00000170989 ENSG00000179776
ENSG00000124228 ENSG00000275700
ENSG00000068079 ENSG00000111335
ENSG00000143319 ENSG00000158850
ENSG00000127184 ENSG00000198677
ENSG00000059377 ENSG00000163803
ENSG00000120697 ENSG00000213995
ENSG00000078142 ENSG00000167088
ENSG00000143393 ENSG00000163374
ENSG00000115053 ENSG00000120948
ENSG00000047932 ENSG00000181472
ENSG00000143393 ENSG00000162923
ENSG00000094880 ENSG00000131495
ENSG00000171466 ENSG00000198429
ENSG00000185122 ENSG00000187735
ENSG00000132953 ENSG00000150459
ENSG00000146067 ENSG00000164466
ENSG00000125304 ENSG00000150457
ENSG00000100567 ENSG00000170468
ENSG00000091009 ENSG00000170445
ENSG00000055130 ENSG00000090263
ENSG00000027847 ENSG00000184840
ENSG00000121644 ENSG00000143157
ENSG00000107290 ENSG00000130717
ENSG00000123933 ENSG00000135870
ENSG00000074356 ENSG00000167840
ENSG00000136631 ENSG00000163565
ENSG00000110777 ENSG00000137265
ENSG00000153283 ENSG00000162739
ENSG00000158796 ENSG00000162736
ENSG00000086589 ENSG00000170234
ENSG00000130748 ENSG00000179588
ENSG00000141873 ENSG00000175602
ENSG00000143612 ENSG00000160714
ENSG00000071082 ENSG00000108298
ENSG00000114383 ENSG00000135605
ENSG00000063177 ENSG00000241343
ENSG00000173171 ENSG00000265241
ENSG00000047410 ENSG00000143374
ENSG00000161920 ENSG00000166484
ENSG00000169413 ENSG00000173369
ENSG00000100814 ENSG00000142937
ENSG00000124749 ENSG00000177239
ENSG00000059377 ENSG00000117154
ENSG00000061987 ENSG00000135473
ENSG00000134375 ENSG00000143183
ENSG00000075945 ENSG00000136631
ENSG00000104823 ENSG00000137103
ENSG00000163840 ENSG00000206527
ENSG00000116473 ENSG00000197223
ENSG00000134539 ENSG00000275066
ENSG00000132952 ENSG00000204977
ENSG00000070423 ENSG00000130748
ENSG00000162244 ENSG00000273604
ENSG00000156162 ENSG00000215271
ENSG00000104365 ENSG00000147548
ENSG00000068885 ENSG00000071794
ENSG00000113810 ENSG00000197223
ENSG00000149136 ENSG00000167325
ENSG00000116668 ENSG00000198837
ENSG00000083635 ENSG00000133119
ENSG00000174886 ENSG00000186010
ENSG00000130227 ENSG00000158941
ENSG00000100056 ENSG00000184076
ENSG00000124731 ENSG00000189410
ENSG00000117560 ENSG00000147138
ENSG00000018408 ENSG00000169857
ENSG00000155011 ENSG00000203722
ENSG00000099954 ENSG00000135074
ENSG00000125458 ENSG00000176108
ENSG00000111897 ENSG00000153989
ENSG00000110077 ENSG00000152766
ENSG00000136828 ENSG00000166828
ENSG00000099622 ENSG00000161970
ENSG00000138375 ENSG00000144567
ENSG00000068745 ENSG00000198218
ENSG00000153037 ENSG00000197406
ENSG00000125538 ENSG00000168329
ENSG00000119335 ENSG00000148303
ENSG00000116698 ENSG00000163374
ENSG00000102978 ENSG00000167515
ENSG00000120279 ENSG00000173269
ENSG00000127564 ENSG00000171241
ENSG00000158850 ENSG00000163374
ENSG00000116954 ENSG00000137996
ENSG00000005075 ENSG00000168090
ENSG00000001036 ENSG00000112701
ENSG00000012983 ENSG00000165525
ENSG00000087206 ENSG00000169258
ENSG00000107937 ENSG00000124784
ENSG00000101751 ENSG00000130856
ENSG00000135426 ENSG00000160185
ENSG00000107164 ENSG00000148300
ENSG00000113312 ENSG00000132912
ENSG00000138594 ENSG00000181991
ENSG00000158006 ENSG00000166012
ENSG00000134070 ENSG00000178184
ENSG00000129691 ENSG00000176209
ENSG00000101407 ENSG00000170471
ENSG00000130176 ENSG00000198523
ENSG00000084090 ENSG00000132323
ENSG00000104412 ENSG00000147601
ENSG00000113456 ENSG00000124279
ENSG00000083168 ENSG00000131931
ENSG00000159352 ENSG00000162736
ENSG00000004487 ENSG00000057757
ENSG00000145495 ENSG00000249915
ENSG00000135052 ENSG00000188986
ENSG00000106608 ENSG00000198874
ENSG00000185115 ENSG00000255302
ENSG00000075218 ENSG00000169679
ENSG00000101577 ENSG00000172466
ENSG00000093167 ENSG00000125821
ENSG00000126226 ENSG00000139842
ENSG00000089022 ENSG00000157837
ENSG00000108298 ENSG00000197958
ENSG00000063177 ENSG00000125743
ENSG00000076248 ENSG00000204852
ENSG00000161265 ENSG00000273899
ENSG00000013374 ENSG00000105821
ENSG00000143436 ENSG00000163159
ENSG00000164919 ENSG00000179981
ENSG00000118518 ENSG00000135521
ENSG00000104921 ENSG00000167483
ENSG00000119335 ENSG00000187713
ENSG00000133104 ENSG00000136152
ENSG00000066117 ENSG00000134291
ENSG00000170871 ENSG00000187556
ENSG00000140829 ENSG00000158545
ENSG00000171222 ENSG00000179588
ENSG00000100129 ENSG00000239900
ENSG00000100632 ENSG00000129559
ENSG00000100029 ENSG00000185721
ENSG00000102699 ENSG00000173281
ENSG00000116747 ENSG00000118971
ENSG00000076321 ENSG00000143252
ENSG00000028310 ENSG00000145495
ENSG00000164291 ENSG00000198677
ENSG00000165688 ENSG00000167112
ENSG00000156931 ENSG00000163960
ENSG00000161970 ENSG00000213741
ENSG00000048462 ENSG00000132704
ENSG00000115539 ENSG00000158411
ENSG00000083814 ENSG00000197050
ENSG00000100325 ENSG00000185608
ENSG00000168872 ENSG00000205250
ENSG00000143258 ENSG00000143303
ENSG00000111252 ENSG00000150201
ENSG00000128965 ENSG00000166986
ENSG00000107771 ENSG00000213341
ENSG00000101558 ENSG00000154845
ENSG00000101391 ENSG00000171456
ENSG00000099901 ENSG00000131100
ENSG00000152443 ENSG00000196724
ENSG00000155463 ENSG00000182979
ENSG00000166595 ENSG00000167515
ENSG00000104921 ENSG00000198890
ENSG00000090686 ENSG00000117308
ENSG00000112851 ENSG00000112996
ENSG00000101336 ENSG00000137757
ENSG00000099917 ENSG00000099991
ENSG00000124614 ENSG00000205339
ENSG00000037280 ENSG00000204301
ENSG00000082258 ENSG00000115966
ENSG00000147548 ENSG00000176209
ENSG00000092148 ENSG00000092201
ENSG00000166927 ENSG00000167613
ENSG00000123737 ENSG00000174720
ENSG00000114209 ENSG00000145194
ENSG00000126012 ENSG00000172943
ENSG00000005844 ENSG00000105122
ENSG00000102871 ENSG00000109610
ENSG00000104517 ENSG00000176623
ENSG00000121957 ENSG00000155307
ENSG00000065883 ENSG00000105778
ENSG00000085840 ENSG00000167900
ENSG00000120662 ENSG00000244754
ENSG00000102786 ENSG00000186184
ENSG00000155463 ENSG00000197958
ENSG00000164961 ENSG00000169398
ENSG00000121879 ENSG00000161204
ENSG00000115085 ENSG00000167984
ENSG00000137501 ENSG00000180008
ENSG00000105829 ENSG00000196367
ENSG00000089351 ENSG00000120948
ENSG00000127419 ENSG00000178950
ENSG00000104897 ENSG00000144895
ENSG00000127329 ENSG00000198844
ENSG00000051180 ENSG00000198901
ENSG00000103275 ENSG00000169189
ENSG00000143457 ENSG00000178096
ENSG00000166986 ENSG00000175063
ENSG00000112234 ENSG00000169976
ENSG00000125971 ENSG00000125995
ENSG00000100902 ENSG00000196943
ENSG00000125166 ENSG00000147905
ENSG00000132842 ENSG00000152422
ENSG00000157911 ENSG00000176022
ENSG00000028839 ENSG00000112592
ENSG00000105373 ENSG00000169100
ENSG00000128011 ENSG00000145623
ENSG00000143379 ENSG00000143393
ENSG00000144895 ENSG00000169251
ENSG00000109534 ENSG00000198498
ENSG00000127452 ENSG00000182141
ENSG00000023516 ENSG00000244754
ENSG00000078140 ENSG00000168936
