ENSG00000133561 ENSG00000133574
ENSG00000167286 ENSG00000198851
ENSG00000002933 ENSG00000106565
ENSG00000176681 ENSG00000228696
ENSG00000162892 ENSG00000162894
ENSG00000162747 ENSG00000163464
ENSG00000224389 ENSG00000244731
ENSG00000153563 ENSG00000198851
ENSG00000125148 ENSG00000169715
ENSG00000189180 ENSG00000196693
ENSG00000089685 ENSG00000186185
ENSG00000141052 ENSG00000198523
ENSG00000158481 ENSG00000158488
ENSG00000133794 ENSG00000174738
ENSG00000131747 ENSG00000186185
ENSG00000116747 ENSG00000169905
ENSG00000075218 ENSG00000148773
ENSG00000112984 ENSG00000131747
ENSG00000105369 ENSG00000132185
ENSG00000170345 ENSG00000171223
ENSG00000120738 ENSG00000160888
ENSG00000067048 ENSG00000067646
ENSG00000171860 ENSG00000181631
ENSG00000088325 ENSG00000131747
ENSG00000123485 ENSG00000186185
ENSG00000112984 ENSG00000117724
ENSG00000132465 ENSG00000254709
ENSG00000107796 ENSG00000163431
ENSG00000049246 ENSG00000133794
ENSG00000013441 ENSG00000113240
ENSG00000152082 ENSG00000173272
ENSG00000066923 ENSG00000239521
ENSG00000011465 ENSG00000139329
ENSG00000105374 ENSG00000180644
ENSG00000137876 ENSG00000166200
ENSG00000117724 ENSG00000131747
ENSG00000158373 ENSG00000180573
ENSG00000130635 ENSG00000204262
ENSG00000105640 ENSG00000171858
ENSG00000197903 ENSG00000276180
ENSG00000180596 ENSG00000184678
ENSG00000163464 ENSG00000180871
ENSG00000172673 ENSG00000198851
ENSG00000232629 ENSG00000237541
ENSG00000204970 ENSG00000255408
ENSG00000119508 ENSG00000153234
ENSG00000275302 ENSG00000277632
ENSG00000120156 ENSG00000127329
ENSG00000184678 ENSG00000203814
ENSG00000130176 ENSG00000149591
ENSG00000113070 ENSG00000153234
ENSG00000089685 ENSG00000131747
ENSG00000137959 ENSG00000157601
ENSG00000128309 ENSG00000128311
ENSG00000125144 ENSG00000205358
ENSG00000011600 ENSG00000158869
ENSG00000066336 ENSG00000158869
ENSG00000072832 ENSG00000072840
ENSG00000171560 ENSG00000171564
ENSG00000140287 ENSG00000149534
ENSG00000256045 ENSG00000270672
ENSG00000143437 ENSG00000271601
ENSG00000105369 ENSG00000196092
ENSG00000108511 ENSG00000120093
ENSG00000197647 ENSG00000223547
ENSG00000148702 ENSG00000197893
ENSG00000159189 ENSG00000173369
ENSG00000160654 ENSG00000198851
ENSG00000049246 ENSG00000167074
ENSG00000128016 ENSG00000170345
ENSG00000170476 ENSG00000254709
ENSG00000143546 ENSG00000163221
ENSG00000078399 ENSG00000253293
ENSG00000067646 ENSG00000114374
ENSG00000107796 ENSG00000145936
ENSG00000180596 ENSG00000187837
ENSG00000149534 ENSG00000172236
ENSG00000113088 ENSG00000153563
ENSG00000033050 ENSG00000135521
ENSG00000143546 ENSG00000163220
ENSG00000117724 ENSG00000148773
ENSG00000110079 ENSG00000177575
ENSG00000085265 ENSG00000186407
ENSG00000169245 ENSG00000169248
ENSG00000153283 ENSG00000172673
ENSG00000101335 ENSG00000130176
ENSG00000204257 ENSG00000242574
ENSG00000147677 ENSG00000156482
ENSG00000143297 ENSG00000254709
ENSG00000138180 ENSG00000148773
ENSG00000116748 ENSG00000143297
ENSG00000066336 ENSG00000142347
ENSG00000188536 ENSG00000206172
ENSG00000113070 ENSG00000123358
ENSG00000145649 ENSG00000271503
ENSG00000169715 ENSG00000198417
ENSG00000134853 ENSG00000139329
ENSG00000138496 ENSG00000163840
ENSG00000243955 ENSG00000244067
ENSG00000119917 ENSG00000119922
ENSG00000153283 ENSG00000198851
ENSG00000011600 ENSG00000066336
ENSG00000066336 ENSG00000162511
ENSG00000164692 ENSG00000168542
ENSG00000167580 ENSG00000169344
ENSG00000158481 ENSG00000179639
ENSG00000049246 ENSG00000174738
ENSG00000012817 ENSG00000129824
ENSG00000080007 ENSG00000203907
ENSG00000160801 ENSG00000160808
ENSG00000145191 ENSG00000161204
ENSG00000123358 ENSG00000153234
ENSG00000105516 ENSG00000174738
ENSG00000276070 ENSG00000277632
ENSG00000167074 ENSG00000174738
ENSG00000149534 ENSG00000163751
ENSG00000196313 ENSG00000272391
ENSG00000133794 ENSG00000167074
ENSG00000067048 ENSG00000183878
ENSG00000162747 ENSG00000180871
ENSG00000120784 ENSG00000130544
ENSG00000105516 ENSG00000133794
ENSG00000112763 ENSG00000124508
ENSG00000105492 ENSG00000163751
ENSG00000145191 ENSG00000175166
ENSG00000128709 ENSG00000128710
ENSG00000163751 ENSG00000172236
ENSG00000132514 ENSG00000179639
ENSG00000141933 ENSG00000213638
ENSG00000143294 ENSG00000143368
ENSG00000173065 ENSG00000221823
ENSG00000158373 ENSG00000180596
ENSG00000005339 ENSG00000080603
ENSG00000105640 ENSG00000130255
ENSG00000108821 ENSG00000130635
ENSG00000276085 ENSG00000277632
ENSG00000223572 ENSG00000237289
ENSG00000132465 ENSG00000170476
ENSG00000130176 ENSG00000163017
ENSG00000177575 ENSG00000260314
ENSG00000180573 ENSG00000180596
ENSG00000006015 ENSG00000141933
ENSG00000167613 ENSG00000186818
ENSG00000066279 ENSG00000148773
ENSG00000107796 ENSG00000149591
ENSG00000131747 ENSG00000175063
ENSG00000119285 ENSG00000153207
ENSG00000149428 ENSG00000155660
ENSG00000163431 ENSG00000172403
ENSG00000122877 ENSG00000179388
ENSG00000108821 ENSG00000164692
ENSG00000132465 ENSG00000143297
ENSG00000133392 ENSG00000198523
ENSG00000162365 ENSG00000187048
ENSG00000161204 ENSG00000175166
ENSG00000153283 ENSG00000160654
ENSG00000066279 ENSG00000131747
ENSG00000131747 ENSG00000148773
ENSG00000089685 ENSG00000168078
ENSG00000135940 ENSG00000141933
ENSG00000185829 ENSG00000238083
ENSG00000152939 ENSG00000197822
ENSG00000155659 ENSG00000177575
ENSG00000012817 ENSG00000183878
ENSG00000105640 ENSG00000108107
ENSG00000047410 ENSG00000117523
ENSG00000123358 ENSG00000144655
ENSG00000089685 ENSG00000148773
ENSG00000276070 ENSG00000276085
ENSG00000157326 ENSG00000187630
ENSG00000204388 ENSG00000204389
ENSG00000088325 ENSG00000117724
ENSG00000090889 ENSG00000123485
ENSG00000111335 ENSG00000137959
ENSG00000213988 ENSG00000256229
ENSG00000196126 ENSG00000196735
ENSG00000275302 ENSG00000276070
ENSG00000011426 ENSG00000168078
ENSG00000173369 ENSG00000173372
ENSG00000100031 ENSG00000178026
ENSG00000125740 ENSG00000162772
ENSG00000134321 ENSG00000134326
ENSG00000113070 ENSG00000179388
ENSG00000153294 ENSG00000164393
ENSG00000163220 ENSG00000163221
ENSG00000012817 ENSG00000114374
ENSG00000055609 ENSG00000196367
ENSG00000125652 ENSG00000171222
ENSG00000153162 ENSG00000259040
ENSG00000108107 ENSG00000130255
ENSG00000154258 ENSG00000154262
ENSG00000171223 ENSG00000184557
ENSG00000123485 ENSG00000131747
ENSG00000125995 ENSG00000183011
ENSG00000163736 ENSG00000163737
ENSG00000131747 ENSG00000171848
ENSG00000171659 ENSG00000171860
ENSG00000141933 ENSG00000175602
ENSG00000148773 ENSG00000186185
ENSG00000158406 ENSG00000180573
ENSG00000088325 ENSG00000148773
ENSG00000105516 ENSG00000167074
ENSG00000081052 ENSG00000169031
ENSG00000137965 ENSG00000157601
ENSG00000011426 ENSG00000088325
ENSG00000077150 ENSG00000104856
ENSG00000116824 ENSG00000167286
ENSG00000126709 ENSG00000137959
ENSG00000125148 ENSG00000187193
ENSG00000165732 ENSG00000166197
ENSG00000213886 ENSG00000237988
ENSG00000119004 ENSG00000130544
ENSG00000116748 ENSG00000170476
ENSG00000089685 ENSG00000175063
ENSG00000137078 ENSG00000167286
ENSG00000125144 ENSG00000198417
ENSG00000126368 ENSG00000174738
ENSG00000114374 ENSG00000183878
ENSG00000158488 ENSG00000179639
ENSG00000130176 ENSG00000163431
ENSG00000076201 ENSG00000168488
ENSG00000159403 ENSG00000182326
ENSG00000132837 ENSG00000132840
ENSG00000188536 ENSG00000244734
ENSG00000159189 ENSG00000173372
ENSG00000160654 ENSG00000167286
ENSG00000100490 ENSG00000125375
ENSG00000113088 ENSG00000145649
ENSG00000133392 ENSG00000141052
ENSG00000204610 ENSG00000204613
ENSG00000110077 ENSG00000171659
ENSG00000130176 ENSG00000133392
ENSG00000119508 ENSG00000123358
ENSG00000111335 ENSG00000134321
ENSG00000126709 ENSG00000134321
ENSG00000110077 ENSG00000159189
ENSG00000120129 ENSG00000170345
ENSG00000140287 ENSG00000163751
ENSG00000128016 ENSG00000171223
ENSG00000143297 ENSG00000170476
ENSG00000132514 ENSG00000158481
ENSG00000198929 ENSG00000239887
ENSG00000206172 ENSG00000244734
ENSG00000117724 ENSG00000156970
ENSG00000116824 ENSG00000198851
ENSG00000093009 ENSG00000127564
ENSG00000160221 ENSG00000241945
ENSG00000107796 ENSG00000130176
ENSG00000123358 ENSG00000162772
ENSG00000138166 ENSG00000162772
ENSG00000113161 ENSG00000130164
ENSG00000134321 ENSG00000137959
ENSG00000153563 ENSG00000271503
ENSG00000162772 ENSG00000179388
ENSG00000125740 ENSG00000179388
