ENSG00000068394 ENSG00000102241
ENSG00000172465 ENSG00000180964
ENSG00000121022 ENSG00000164751
ENSG00000114503 ENSG00000175166
ENSG00000173432 ENSG00000255071
ENSG00000170345 ENSG00000171223
ENSG00000104671 ENSG00000104756
ENSG00000122958 ENSG00000182180
ENSG00000147316 ENSG00000154328
ENSG00000129691 ENSG00000147457
ENSG00000132465 ENSG00000254709
ENSG00000107625 ENSG00000148843
ENSG00000095574 ENSG00000166169
ENSG00000143751 ENSG00000182827
ENSG00000066923 ENSG00000239521
ENSG00000004939 ENSG00000158578
ENSG00000156970 ENSG00000186185
ENSG00000123485 ENSG00000165480
ENSG00000186625 ENSG00000213079
ENSG00000104679 ENSG00000197265
ENSG00000089685 ENSG00000131747
ENSG00000041802 ENSG00000161204
ENSG00000075218 ENSG00000170312
ENSG00000147649 ENSG00000167904
ENSG00000153563 ENSG00000160654
ENSG00000107815 ENSG00000148843
ENSG00000123989 ENSG00000188760
ENSG00000090889 ENSG00000175063
ENSG00000163508 ENSG00000167286
ENSG00000152086 ENSG00000198033
ENSG00000080822 ENSG00000081154
ENSG00000145833 ENSG00000170606
ENSG00000136573 ENSG00000156738
ENSG00000070814 ENSG00000197451
ENSG00000163913 ENSG00000181789
ENSG00000104671 ENSG00000147439
ENSG00000180596 ENSG00000187837
ENSG00000148773 ENSG00000169607
ENSG00000049246 ENSG00000126368
ENSG00000104388 ENSG00000154582
ENSG00000185621 ENSG00000198836
ENSG00000075218 ENSG00000198901
ENSG00000155975 ENSG00000158941
ENSG00000099783 ENSG00000160633
ENSG00000145649 ENSG00000163508
ENSG00000147677 ENSG00000156482
ENSG00000081154 ENSG00000178694
ENSG00000089022 ENSG00000198015
ENSG00000135686 ENSG00000159792
ENSG00000157212 ENSG00000214022
ENSG00000011600 ENSG00000066336
ENSG00000181789 ENSG00000184432
ENSG00000115085 ENSG00000175463
ENSG00000049246 ENSG00000174738
ENSG00000160801 ENSG00000160808
ENSG00000276070 ENSG00000277632
