ENSG00000253767 ENSG00000262209
ENSG00000131747 ENSG00000138180
ENSG00000078674 ENSG00000147419
ENSG00000121022 ENSG00000164751
ENSG00000165832 ENSG00000196865
ENSG00000110079 ENSG00000165457
ENSG00000101057 ENSG00000105011
ENSG00000148737 ENSG00000171206
ENSG00000173432 ENSG00000255071
ENSG00000170345 ENSG00000171223
ENSG00000081154 ENSG00000114391
ENSG00000166803 ENSG00000170312
ENSG00000170312 ENSG00000171848
ENSG00000115163 ENSG00000164611
ENSG00000135451 ENSG00000169679
ENSG00000129691 ENSG00000147457
ENSG00000132465 ENSG00000254709
ENSG00000104427 ENSG00000164983
ENSG00000169100 ENSG00000178605
ENSG00000144746 ENSG00000144747
ENSG00000112984 ENSG00000115163
ENSG00000066923 ENSG00000239521
ENSG00000004939 ENSG00000158578
ENSG00000161888 ENSG00000164611
ENSG00000156970 ENSG00000186185
ENSG00000129636 ENSG00000166848
ENSG00000134014 ENSG00000158941
ENSG00000144747 ENSG00000163602
ENSG00000089685 ENSG00000131747
ENSG00000001631 ENSG00000009954
ENSG00000180573 ENSG00000184678
ENSG00000147649 ENSG00000167904
ENSG00000153563 ENSG00000160654
ENSG00000089234 ENSG00000179295
ENSG00000100813 ENSG00000100836
ENSG00000090889 ENSG00000175063
ENSG00000163508 ENSG00000167286
ENSG00000131153 ENSG00000166803
ENSG00000080822 ENSG00000081154
ENSG00000051180 ENSG00000276043
ENSG00000120910 ENSG00000168495
ENSG00000113249 ENSG00000145850
ENSG00000126787 ENSG00000178999
ENSG00000167613 ENSG00000170458
ENSG00000064201 ENSG00000110665
ENSG00000115649 ENSG00000144567
ENSG00000104687 ENSG00000158941
ENSG00000180596 ENSG00000187837
ENSG00000091009 ENSG00000113575
ENSG00000049246 ENSG00000126368
ENSG00000104388 ENSG00000154582
ENSG00000118193 ENSG00000237649
ENSG00000158941 ENSG00000241852
ENSG00000082515 ENSG00000131495
ENSG00000120688 ENSG00000244754
ENSG00000079134 ENSG00000101557
ENSG00000065054 ENSG00000101331
ENSG00000145649 ENSG00000163508
ENSG00000147677 ENSG00000156482
ENSG00000122033 ENSG00000132963
ENSG00000075218 ENSG00000112984
ENSG00000160201 ENSG00000275895
ENSG00000099795 ENSG00000186010
ENSG00000111335 ENSG00000138642
ENSG00000011600 ENSG00000066336
ENSG00000181789 ENSG00000184432
ENSG00000134326 ENSG00000137959
ENSG00000088325 ENSG00000178999
ENSG00000253485 ENSG00000253910
ENSG00000115085 ENSG00000175463
ENSG00000049246 ENSG00000174738
ENSG00000160801 ENSG00000160808
ENSG00000141627 ENSG00000175387
ENSG00000276070 ENSG00000277632
ENSG00000062582 ENSG00000243678
ENSG00000092010 ENSG00000100911
ENSG00000133142 ENSG00000196507
ENSG00000113721 ENSG00000151617
ENSG00000160087 ENSG00000176022
ENSG00000127564 ENSG00000143476
ENSG00000113575 ENSG00000170445
ENSG00000135763 ENSG00000135801
ENSG00000117650 ENSG00000186185
ENSG00000156738 ENSG00000188822
ENSG00000073111 ENSG00000167513
ENSG00000126653 ENSG00000168259
ENSG00000134326 ENSG00000135114
ENSG00000129691 ENSG00000147471
ENSG00000147548 ENSG00000165046
ENSG00000187837 ENSG00000278677
ENSG00000104299 ENSG00000147419
ENSG00000006015 ENSG00000141933
ENSG00000010379 ENSG00000111181
ENSG00000135597 ENSG00000153989
ENSG00000113312 ENSG00000170606
ENSG00000141933 ENSG00000142544
ENSG00000119335 ENSG00000148229
ENSG00000123999 ENSG00000124006
ENSG00000131747 ENSG00000175063
ENSG00000143442 ENSG00000160741
ENSG00000110777 ENSG00000254709
ENSG00000108510 ENSG00000198265
ENSG00000204967 ENSG00000204969
ENSG00000166851 ENSG00000175063
ENSG00000269028 ENSG00000270672
ENSG00000161940 ENSG00000198844
ENSG00000136147 ENSG00000165475
ENSG00000135940 ENSG00000171222
ENSG00000140030 ENSG00000167613
ENSG00000132963 ENSG00000165416
ENSG00000100883 ENSG00000196943
ENSG00000143569 ENSG00000158796
ENSG00000072571 ENSG00000089685
ENSG00000066279 ENSG00000143228
ENSG00000276070 ENSG00000276085
ENSG00000108599 ENSG00000171953
ENSG00000147316 ENSG00000198791
ENSG00000094880 ENSG00000113575
ENSG00000143436 ENSG00000160714
ENSG00000102245 ENSG00000110448
ENSG00000142945 ENSG00000148773
ENSG00000168495 ENSG00000198042
ENSG00000104671 ENSG00000133872
ENSG00000131747 ENSG00000171848
ENSG00000171848 ENSG00000178999
ENSG00000171659 ENSG00000171860
ENSG00000053747 ENSG00000141458
ENSG00000140839 ENSG00000157335
ENSG00000117399 ENSG00000126787
ENSG00000197619 ENSG00000256683
ENSG00000143546 ENSG00000160883
ENSG00000100462 ENSG00000100902
ENSG00000092098 ENSG00000196943
ENSG00000101336 ENSG00000204472
ENSG00000163463 ENSG00000278615
ENSG00000136147 ENSG00000244754
ENSG00000173369 ENSG00000203747
ENSG00000089685 ENSG00000129195
ENSG00000124279 ENSG00000172239
ENSG00000154839 ENSG00000186185
ENSG00000129691 ENSG00000147475
ENSG00000055044 ENSG00000196504
ENSG00000134970 ENSG00000134987
ENSG00000256087 ENSG00000256683
ENSG00000102096 ENSG00000110777
ENSG00000100883 ENSG00000129518
ENSG00000141933 ENSG00000241360
ENSG00000120688 ENSG00000150459
ENSG00000162739 ENSG00000271503
ENSG00000065054 ENSG00000132622
ENSG00000113088 ENSG00000198851
ENSG00000088325 ENSG00000129195
ENSG00000109805 ENSG00000138180
ENSG00000113845 ENSG00000114491
ENSG00000108298 ENSG00000198242
ENSG00000148300 ENSG00000167130
ENSG00000123485 ENSG00000138180
ENSG00000088325 ENSG00000115163
ENSG00000138468 ENSG00000182504
ENSG00000113088 ENSG00000139193
ENSG00000167286 ENSG00000198851
ENSG00000161888 ENSG00000170312
ENSG00000113088 ENSG00000163508
ENSG00000129691 ENSG00000147419
ENSG00000118193 ENSG00000175063
ENSG00000113272 ENSG00000181163
ENSG00000114745 ENSG00000153560
ENSG00000134690 ENSG00000146670
ENSG00000036054 ENSG00000154174
ENSG00000112984 ENSG00000131747
ENSG00000120925 ENSG00000165102
ENSG00000081154 ENSG00000154174
ENSG00000123485 ENSG00000186185
ENSG00000167904 ENSG00000253729
ENSG00000142556 ENSG00000176024
ENSG00000148300 ENSG00000148358
ENSG00000143297 ENSG00000183508
ENSG00000090889 ENSG00000237649
ENSG00000105374 ENSG00000180644
ENSG00000145113 ENSG00000176945
ENSG00000072571 ENSG00000131747
ENSG00000061337 ENSG00000163909
ENSG00000197903 ENSG00000276180
ENSG00000115386 ENSG00000172023
ENSG00000275302 ENSG00000277632
ENSG00000123200 ENSG00000150459
ENSG00000160049 ENSG00000173614
ENSG00000158578 ENSG00000188536
ENSG00000141933 ENSG00000188483
ENSG00000094880 ENSG00000176087
ENSG00000113638 ENSG00000132356
ENSG00000128309 ENSG00000128311
ENSG00000117399 ENSG00000169679
ENSG00000143226 ENSG00000159189
ENSG00000089127 ENSG00000126709
ENSG00000130255 ENSG00000241343
ENSG00000024526 ENSG00000131747
ENSG00000241945 ENSG00000280071
ENSG00000176024 ENSG00000197619
ENSG00000104299 ENSG00000104756
ENSG00000130821 ENSG00000130822
ENSG00000130713 ENSG00000148308
ENSG00000120738 ENSG00000170345
ENSG00000117724 ENSG00000164611
ENSG00000112592 ENSG00000135597
ENSG00000134690 ENSG00000175063
ENSG00000115163 ENSG00000237649
ENSG00000130255 ENSG00000197958
ENSG00000143590 ENSG00000143847
ENSG00000088325 ENSG00000170312
ENSG00000160336 ENSG00000203326
ENSG00000103254 ENSG00000171222
ENSG00000143183 ENSG00000143457
ENSG00000089685 ENSG00000134690
ENSG00000143476 ENSG00000189057
ENSG00000082213 ENSG00000145495
ENSG00000117399 ENSG00000134690
ENSG00000143297 ENSG00000169962
ENSG00000038274 ENSG00000113575
ENSG00000147548 ENSG00000168522
ENSG00000113068 ENSG00000113312
ENSG00000117399 ENSG00000175063
ENSG00000111335 ENSG00000187608
ENSG00000179583 ENSG00000242574
ENSG00000138180 ENSG00000148773
ENSG00000138246 ENSG00000175054
ENSG00000204252 ENSG00000223865
ENSG00000145649 ENSG00000271503
ENSG00000078674 ENSG00000134014
ENSG00000112984 ENSG00000158402
ENSG00000134690 ENSG00000186185
ENSG00000141644 ENSG00000153339
ENSG00000036054 ENSG00000113966
ENSG00000160688 ENSG00000163468
ENSG00000149564 ENSG00000179776
ENSG00000132185 ENSG00000132704
ENSG00000164692 ENSG00000168542
ENSG00000113643 ENSG00000120705
ENSG00000134326 ENSG00000185745
ENSG00000135451 ENSG00000178999
ENSG00000171649 ENSG00000197128
ENSG00000138160 ENSG00000169607
ENSG00000144744 ENSG00000163605
ENSG00000196313 ENSG00000272391
ENSG00000147475 ENSG00000147548
ENSG00000138160 ENSG00000138180
ENSG00000165480 ENSG00000237649
ENSG00000104691 ENSG00000198042
ENSG00000198862 ENSG00000241837
ENSG00000114098 ENSG00000114120
ENSG00000130227 ENSG00000147548
ENSG00000065328 ENSG00000105011
ENSG00000075218 ENSG00000164611
ENSG00000158863 ENSG00000158941
ENSG00000120925 ENSG00000147548
ENSG00000112592 ENSG00000186625
ENSG00000138642 ENSG00000157601
ENSG00000101412 ENSG00000127564
ENSG00000105011 ENSG00000276043
ENSG00000119638 ENSG00000155463
ENSG00000107796 ENSG00000149591
ENSG00000108821 ENSG00000168542
ENSG00000161513 ENSG00000163071
ENSG00000090889 ENSG00000161888
ENSG00000170458 ENSG00000173369
ENSG00000076248 ENSG00000157837
ENSG00000143294 ENSG00000143319
ENSG00000051180 ENSG00000131153
ENSG00000038945 ENSG00000143226
ENSG00000158406 ENSG00000187837
ENSG00000152939 ENSG00000197822
ENSG00000134321 ENSG00000185745
ENSG00000197021 ENSG00000197620
ENSG00000003987 ENSG00000198791
ENSG00000172466 ENSG00000176624
ENSG00000137959 ENSG00000187608
ENSG00000174059 ENSG00000179776
ENSG00000112592 ENSG00000130024
ENSG00000088325 ENSG00000117724
ENSG00000131153 ENSG00000168496
ENSG00000055147 ENSG00000072803
ENSG00000104365 ENSG00000158669
ENSG00000117724 ENSG00000134690
ENSG00000108798 ENSG00000167083
ENSG00000134321 ENSG00000134326
ENSG00000099991 ENSG00000241973
ENSG00000133731 ENSG00000167904
ENSG00000123485 ENSG00000131747
ENSG00000160445 ENSG00000235106
ENSG00000180596 ENSG00000203814
ENSG00000131747 ENSG00000157456
ENSG00000120705 ENSG00000171604
ENSG00000124659 ENSG00000124688
ENSG00000116824 ENSG00000167286
ENSG00000048462 ENSG00000116748
ENSG00000213886 ENSG00000237988
ENSG00000145386 ENSG00000175063
ENSG00000101412 ENSG00000119969
ENSG00000126709 ENSG00000157601
ENSG00000204252 ENSG00000242574
ENSG00000108039 ENSG00000148843
ENSG00000105011 ENSG00000131153
ENSG00000090889 ENSG00000138160
ENSG00000113384 ENSG00000205765
ENSG00000089289 ENSG00000147140
ENSG00000100162 ENSG00000101412
ENSG00000143319 ENSG00000158850
ENSG00000134690 ENSG00000138180
ENSG00000165102 ENSG00000168522
ENSG00000144736 ENSG00000144744
ENSG00000088325 ENSG00000126787
ENSG00000143297 ENSG00000167077
ENSG00000078142 ENSG00000167088
ENSG00000105011 ENSG00000167900
ENSG00000143297 ENSG00000170476
ENSG00000104218 ENSG00000147649
ENSG00000130255 ENSG00000188846
ENSG00000160208 ENSG00000160214
ENSG00000175063 ENSG00000198901
ENSG00000111331 ENSG00000134321
ENSG00000166341 ENSG00000179776
ENSG00000091164 ENSG00000141627
ENSG00000147548 ENSG00000158941
ENSG00000113263 ENSG00000163519
ENSG00000100739 ENSG00000168398
ENSG00000024526 ENSG00000072571
ENSG00000094880 ENSG00000131495
ENSG00000117650 ENSG00000126787
ENSG00000142945 ENSG00000169679
ENSG00000185122 ENSG00000187735
ENSG00000107021 ENSG00000160445
ENSG00000196866 ENSG00000197409
ENSG00000114416 ENSG00000163960
ENSG00000113638 ENSG00000164187
ENSG00000131747 ENSG00000169679
ENSG00000117724 ENSG00000118193
ENSG00000113575 ENSG00000145907
ENSG00000162772 ENSG00000179388
ENSG00000091009 ENSG00000170445
ENSG00000120688 ENSG00000165416
ENSG00000027847 ENSG00000184840
ENSG00000127191 ENSG00000148300
ENSG00000107651 ENSG00000166197
ENSG00000173546 ENSG00000174807
ENSG00000197756 ENSG00000241343
ENSG00000162244 ENSG00000188846
ENSG00000110777 ENSG00000137265
ENSG00000112941 ENSG00000145495
ENSG00000136930 ENSG00000167118
ENSG00000085231 ENSG00000145740
ENSG00000048462 ENSG00000143297
ENSG00000185730 ENSG00000197363
ENSG00000120068 ENSG00000170689
ENSG00000112742 ENSG00000123485
ENSG00000118193 ENSG00000186185
ENSG00000134987 ENSG00000164209
ENSG00000123485 ENSG00000134690
ENSG00000039123 ENSG00000164172
ENSG00000135114 ENSG00000187608
ENSG00000141873 ENSG00000175602
ENSG00000148300 ENSG00000167118
ENSG00000104756 ENSG00000147419
ENSG00000123737 ENSG00000164022
ENSG00000001626 ENSG00000077063
ENSG00000142556 ENSG00000256087
ENSG00000142945 ENSG00000169607
ENSG00000232629 ENSG00000237541
ENSG00000070423 ENSG00000141933
ENSG00000011426 ENSG00000089685
ENSG00000106004 ENSG00000197576
ENSG00000143751 ENSG00000151414
ENSG00000011600 ENSG00000114013
ENSG00000048462 ENSG00000254709
ENSG00000063177 ENSG00000241343
ENSG00000009844 ENSG00000153989
ENSG00000145386 ENSG00000178999
ENSG00000078674 ENSG00000104679
ENSG00000104679 ENSG00000147457
ENSG00000120733 ENSG00000164902
ENSG00000169413 ENSG00000173369
ENSG00000024526 ENSG00000115163
ENSG00000123338 ENSG00000203747
ENSG00000102096 ENSG00000143297
ENSG00000105011 ENSG00000143476
ENSG00000127152 ENSG00000153283
ENSG00000114850 ENSG00000169359
ENSG00000125144 ENSG00000205358
ENSG00000204519 ENSG00000213762
ENSG00000066279 ENSG00000175063
ENSG00000104679 ENSG00000147419
ENSG00000004939 ENSG00000206172
ENSG00000204969 ENSG00000255408
ENSG00000104299 ENSG00000147457
ENSG00000158578 ENSG00000206172
ENSG00000121413 ENSG00000181894
ENSG00000066336 ENSG00000101336
ENSG00000078668 ENSG00000158669
ENSG00000065328 ENSG00000127564
ENSG00000128016 ENSG00000170345
ENSG00000114446 ENSG00000151576
ENSG00000104365 ENSG00000147548
ENSG00000078399 ENSG00000253293
ENSG00000117724 ENSG00000142945
ENSG00000024526 ENSG00000109805
ENSG00000179776 ENSG00000198844
ENSG00000119922 ENSG00000185745
ENSG00000066056 ENSG00000113555
ENSG00000087586 ENSG00000175063
ENSG00000105373 ENSG00000167526
ENSG00000119396 ENSG00000148358
ENSG00000080822 ENSG00000114391
ENSG00000156738 ENSG00000196092
ENSG00000130227 ENSG00000158941
ENSG00000107796 ENSG00000157766
ENSG00000157916 ENSG00000175756
ENSG00000071994 ENSG00000112237
ENSG00000100450 ENSG00000145649
ENSG00000117399 ENSG00000198901
ENSG00000143436 ENSG00000158796
ENSG00000024526 ENSG00000117399
ENSG00000139193 ENSG00000172116
ENSG00000129691 ENSG00000147533
ENSG00000149591 ENSG00000163431
ENSG00000004939 ENSG00000133742
ENSG00000081154 ENSG00000174173
ENSG00000104679 ENSG00000147316
ENSG00000153283 ENSG00000198851
ENSG00000111897 ENSG00000153989
ENSG00000107021 ENSG00000165138
ENSG00000125740 ENSG00000144655
ENSG00000131844 ENSG00000152942
ENSG00000113575 ENSG00000176087
ENSG00000120738 ENSG00000125740
ENSG00000089685 ENSG00000137807
ENSG00000068745 ENSG00000198218
ENSG00000140287 ENSG00000197253
ENSG00000093009 ENSG00000105011
ENSG00000167565 ENSG00000197019
ENSG00000137078 ENSG00000139193
ENSG00000104388 ENSG00000147669
ENSG00000099901 ENSG00000196419
ENSG00000256045 ENSG00000269028
ENSG00000009844 ENSG00000135597
ENSG00000010165 ENSG00000134375
ENSG00000005075 ENSG00000168090
ENSG00000120733 ENSG00000155506
ENSG00000116824 ENSG00000124203
ENSG00000104671 ENSG00000158941
ENSG00000111335 ENSG00000126709
ENSG00000024526 ENSG00000142945
ENSG00000115163 ENSG00000134690
ENSG00000101751 ENSG00000130856
ENSG00000162365 ENSG00000187048
ENSG00000078668 ENSG00000104365
ENSG00000113555 ENSG00000174059
ENSG00000185869 ENSG00000188227
ENSG00000073111 ENSG00000131153
ENSG00000172116 ENSG00000271503
ENSG00000154582 ENSG00000167904
ENSG00000155659 ENSG00000177575
ENSG00000115694 ENSG00000144524
ENSG00000196437 ENSG00000198453
ENSG00000066422 ENSG00000081154
ENSG00000113161 ENSG00000113163
ENSG00000117650 ENSG00000142945
ENSG00000104388 ENSG00000176623
ENSG00000066777 ENSG00000147649
ENSG00000110448 ENSG00000117090
ENSG00000172116 ENSG00000198851
ENSG00000117724 ENSG00000175063
ENSG00000158941 ENSG00000221914
ENSG00000048162 ENSG00000170445
ENSG00000134184 ENSG00000134201
ENSG00000113555 ENSG00000179776
ENSG00000105516 ENSG00000167074
ENSG00000171222 ENSG00000175602
ENSG00000114686 ENSG00000160124
ENSG00000095970 ENSG00000112799
ENSG00000132185 ENSG00000177455
ENSG00000100902 ENSG00000129518
ENSG00000143379 ENSG00000163374
ENSG00000075218 ENSG00000169679
ENSG00000196407 ENSG00000225556
ENSG00000104324 ENSG00000147601
ENSG00000126226 ENSG00000139842
ENSG00000112335 ENSG00000196591
ENSG00000132676 ENSG00000143436
ENSG00000141933 ENSG00000233493
ENSG00000116824 ENSG00000160654
ENSG00000150337 ENSG00000198019
ENSG00000078674 ENSG00000197265
ENSG00000120328 ENSG00000197479
ENSG00000087206 ENSG00000113643
ENSG00000117399 ENSG00000135451
ENSG00000143436 ENSG00000163159
ENSG00000078399 ENSG00000106006
ENSG00000113575 ENSG00000120733
ENSG00000061337 ENSG00000121068
ENSG00000127184 ENSG00000134056
ENSG00000117650 ENSG00000134690
ENSG00000088325 ENSG00000169679
ENSG00000121060 ENSG00000274211
ENSG00000156261 ENSG00000156304
ENSG00000127564 ENSG00000167513
